name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,Product_url
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,220,180,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-aquifolium-mother-tincture-q-otc390797
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,bottle of 10 ml Eye Drop,175,154,https://www.1mg.com/otc/dr-willmar-schwabe-germany-cineraria-maritima-without-alcohol-eye-drop-otc326131
SBL Arnica Montana Herbal Shampoo with TJC,bottle of 200 ml Shampoo,170,150,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329025
Boericke and Tafel Arnica Shampoo,pump bottle of 250 ml Shampoo,200,180,https://www.1mg.com/otc/boericke-and-tafel-arnica-shampoo-otc418583
Dr. Reckeweg R78 Eye Care Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r78-eye-care-drop-otc327376
Bakson's Vitamin D Plus Capsule,box of 50 capsules,250,225,https://www.1mg.com/otc/bakson-s-vitamin-d-plus-capsule-otc325885
Hapdco Rheumacon Pain Relief Oil,bottle of 60 ml Oil,175,154,https://www.1mg.com/otc/hapdco-rheumacon-pain-relief-oil-otc659823
Fourrts Gum Forte Gel Homoeopathic Toothpaste,tube of 100 gm Gel,100,94,https://www.1mg.com/otc/fourrts-gum-forte-gel-homoeopathic-toothpaste-otc226835
SBL Jaborandi Hair Oil,bottle of 200 ml Oil,270,218,https://www.1mg.com/otc/sbl-jaborandi-hair-oil-otc329035
SBL Cineraria Maritima 10% Eye Drop,bottle of 10 ml Eye Drop,135,124,https://www.1mg.com/otc/sbl-cineraria-maritima-10-eye-drop-otc329014
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,bottle of 25 ml Drop,550,494,https://www.1mg.com/otc/adel-diacard-gold-madaus-drop-homeopathic-medicine-otc326050
Bjain Guatteria Gaumeri Drop,bottle of 30 ml Drop,365,321,https://www.1mg.com/otc/bjain-guatteria-gaumeri-drop-otc327159
SBL Sarracenia Purpurea Dilution 1000 CH,bottle of 30 ml Dilution,140,123,https://www.1mg.com/otc/sbl-sarracenia-purpurea-dilution-1000-ch-otc358168
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,185,179,https://www.1mg.com/otc/dr.-reckeweg-calcarea-phosphorica-biochemic-tablet-6x-otc325463
Dr. Reckeweg R41 Sexual Neurasthenia Drop,bottle of 22 ml Drop,270,224,https://www.1mg.com/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-otc327434
Bakson Y-Lax Tablet,bottle of 200 tablets,500,364,https://www.1mg.com/otc/bakson-y-lax-tablet-otc648470
Bakson Y-Lax Tablet,bottle of 75 tablets,215,209,https://www.1mg.com/otc/bakson-y-lax-tablet-otc400769
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,190,172,https://www.1mg.com/otc/dr-willmar-schwabe-india-thyroidinum-trituration-tablet-3x-otc324953
SBL Stobal Cough Syrup,bottle of 180 ml Syrup,175,143,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328988
Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 20 ml Mother Tincture,255,229,https://www.1mg.com/otc/dr.-reckeweg-berberis-vul-mother-tincture-q-otc327784
Dr. Reckeweg R73 Joint Pain Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r73-joint-pain-drop-otc327364
Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,310,273,https://www.1mg.com/otc/dr.-reckeweg-r89-hair-care-drop-otc326064
Dr Willmar Schwabe India Damiaplant Drop,bottle of 30 ml Drop,425,374,https://www.1mg.com/otc/dr-willmar-schwabe-india-damiaplant-drop-otc325889
SBL Arnica Montana Hair Oil with Tjc,bottle of 200 ml Oil,160,132,https://www.1mg.com/otc/sbl-arnica-montana-hair-oil-with-tjc-otc330951
SBL Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-nux-vomica-dilution-30-ch-otc338194
SBL Scalptone Tablet,bottle of 25 gm Tablet,165,152,https://www.1mg.com/otc/sbl-scalptone-tablet-otc326111
SBL Clearstone Drop,bottle of 30 ml Drop,165,145,https://www.1mg.com/otc/sbl-clearstone-drop-otc326121
Dr. Reckeweg R13 Hemorrhoidal Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r13-hemorrhoidal-drop-otc327481
Bhargava Spondin Drop,bottle of 30 ml Drop,185,170,https://www.1mg.com/otc/bhargava-spondin-drop-otc325892
Dr. Reckeweg R25 Prostatitis Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r25-prostatitis-drop-otc326058
Bakson Aller Aid Tablet,bottle of 200 tablets,500,440,https://www.1mg.com/otc/bakson-aller-aid-tablet-otc326090
SBL Nux Vomica Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-nux-vomica-dilution-200-ch-otc338195
SBL Berberis Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-berberis-vulgaris-mother-tincture-q-otc348876
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r40-diabetes-drop-homeopathic-medicine-otc326035
SBL Syzygium Jambolanum Mother Tincture Q,bottle of 30 ml Mother Tincture,105,91,https://www.1mg.com/otc/sbl-syzygium-jambolanum-mother-tincture-q-otc338412
SBL Arnica Montana Dilution 200 CH,bottle of 30 ml Dilution,115,104,https://www.1mg.com/otc/sbl-arnica-montana-dilution-200-ch-otc338216
SBL Berberis Aquifolium Gel,tube of 25 gm Gel,75,68,https://www.1mg.com/otc/sbl-berberis-aquifolium-gel-otc330988
Dr. Reckeweg R42 Varicosis Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r42-varicosis-drop-otc326032
Dr. Reckeweg R71 Sciatica Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r71-sciatica-drop-otc325999
SBL Tonicard Gold Drop Homeopathic Medicine,bottle of 100 ml Drop,425,374,https://www.1mg.com/otc/sbl-tonicard-gold-drop-homeopathic-medicine-otc329006
Dr. Reckeweg R5 Stomach and Digestion Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r5-stomach-and-digestion-drop-otc326077
SBL Calcarea Fluorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,110,97,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-6x-otc331087
SBL Kali Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,110,97,https://www.1mg.com/otc/sbl-kali-phosphoricum-biochemic-tablet-6x-otc331042
Dr. Reckeweg R11 Rheumatism Drop,bottle of 22 ml Drop,270,255,https://www.1mg.com/otc/dr.-reckeweg-r11-rheumatism-drop-otc327504
Dr. Reckeweg R7 Liver and Gallbladder Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r7-liver-and-gallbladder-drop-otc326075
Dr Willmar Schwabe Germany Cineraria Maritima Schwabe Eye Drop Alcohol Free,bottle of 10 ml Eye Drop,200,188,https://www.1mg.com/otc/dr-willmar-schwabe-germany-cineraria-maritima-schwabe-eye-drop-alcohol-free-otc824401
Dr. Reckeweg R59 Weight Loss,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r59-weight-loss-otc326007
Dr. Reckeweg R65 Psoriasis Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r65-psoriasis-drop-otc326001
Bakson Throat Aid Tablet,bottle of 200 tablets,500,342,https://www.1mg.com/otc/bakson-throat-aid-tablet-otc502934
SBL Prostonum Drop,bottle of 30 ml Drop,170,150,https://www.1mg.com/otc/sbl-prostonum-drop-otc329004
SBL Jaborandi Mother Tincture Q,bottle of 30 ml Mother Tincture,150,132,https://www.1mg.com/otc/sbl-jaborandi-mother-tincture-q-otc338446
SBL Liv T Tonic,bottle of 180 ml Tonic,170,150,https://www.1mg.com/otc/sbl-liv-t-tonic-otc328967
SBL Chelidonium Majus Mother Tincture Q,bottle of 30 ml Mother Tincture,150,132,https://www.1mg.com/otc/sbl-chelidonium-majus-mother-tincture-q-otc338503
Allen A84 Lipoma Drop,bottle of 30 ml Drop,170,153,https://www.1mg.com/otc/allen-a84-lipoma-drop-otc330453
SBL Calcarea Phosphorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,110,97,https://www.1mg.com/otc/sbl-calcarea-phosphorica-biochemic-tablet-6x-otc331091
SBL Alfalfa Tonic with Ginseng,bottle of 180 ml Tonic,175,139,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-otc328976
Bakson Aller Aid Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-aller-aid-tablet-otc388848
Bakson Throat Aid Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-throat-aid-tablet-otc325990
Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,185,166,https://www.1mg.com/otc/dr.-reckeweg-kali-phosphoricum-biochemic-tablet-6x-otc334909
Dr. Reckeweg Aalserum 7X Mother Tincture Q,bottle of 20 ml Mother Tincture,255,230,https://www.1mg.com/otc/dr.-reckeweg-aalserum-7x-mother-tincture-q-otc327821
Dr. Reckeweg Testes Siccati Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,240,211,https://www.1mg.com/otc/dr.-reckeweg-testes-siccati-trituration-tablet-3x-otc326929
SBL Dibonil Drop,bottle of 30 ml Drop,135,119,https://www.1mg.com/otc/sbl-dibonil-drop-otc327094
SBL Arsenicum Album Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-arsenicum-album-dilution-30-ch-otc338369
SBL Phytolacca Berry Mother Tincture Q,bottle of 30 ml Mother Tincture,240,211,https://www.1mg.com/otc/sbl-phytolacca-berry-mother-tincture-q-otc338433
SBL Arnica Montana Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-arnica-montana-dilution-30-ch-otc338218
SBL Hydrastis Canadensis Mother Tincture Q,bottle of 30 ml Mother Tincture,100,425,https://www.1mg.com/otc/sbl-hydrastis-canadensis-mother-tincture-q-otc338448
SBL Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,115,106,https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-200-ch-otc338170
Bakson's Vitamin D Plus Tablet,bottle of 30 tablets,160,141,https://www.1mg.com/otc/bakson-s-vitamin-d-plus-tablet-otc513616
Dr. Reckeweg R49 Sinus Drop,bottle of 22 ml Drop,270,240,https://www.1mg.com/otc/dr.-reckeweg-r49-sinus-drop-otc327421
Wheezal Mel-X Melasma Tablet,bottle of 75 tablets,230,207,https://www.1mg.com/otc/wheezal-mel-x-melasma-tablet-otc713525
Dr. Reckeweg R85 High Blood Pressure Drop,bottle of 30 ml Drop,310,273,https://www.1mg.com/otc/dr.-reckeweg-r85-high-blood-pressure-drop-otc326018
SBL Bio-Combination 20 Tablet,bottle of 25 gm Biocombination Tablet,110,97,https://www.1mg.com/otc/sbl-bio-combination-20-tablet-otc331069
New Life NL-2 Blood Urea Creatinin Drop,bottle of 30 ml Drop,150,104,https://www.1mg.com/otc/new-life-nl-2-blood-urea-creatinin-drop-otc326171
Dr. Reckeweg R27 Renal Calculi Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r27-renal-calculi-drop-otc326057
Dr. Reckeweg Rhus Tox Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-200-ch-otc331703
Dr. Reckeweg Nux Vomica Dilution 30 CH,bottle of 11 ml Dilution,160,135,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-30-ch-otc336264
SBL Five Phos Tablet 6X,bottle of 25 gm Tablet,110,99,https://www.1mg.com/otc/sbl-five-phos-tablet-6x-otc608306
SBL Sabal Serrulata Mother Tincture Q,bottle of 30 ml Mother Tincture,280,274,https://www.1mg.com/otc/sbl-sabal-serrulata-mother-tincture-q-otc338421
SBL Rhus Toxicodendron Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-rhus-toxicodendron-dilution-200-ch-otc338182
Dr. Reckeweg R16 Migraine and Neuralgia Drop,bottle of 22 ml Drop,270,252,https://www.1mg.com/otc/dr.-reckeweg-r16-migraine-and-neuralgia-drop-otc326067
SBL Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,240,211,https://www.1mg.com/otc/sbl-berberis-aquifolium-mother-tincture-q-otc338512
SBL Rite-Hite Tablet,bottle of 25 gm Tablet,165,145,https://www.1mg.com/otc/sbl-rite-hite-tablet-otc329012
SBL Crataegus Oxyacantha Q Mother Tincture,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-crataegus-oxyacantha-q-mother-tincture-otc338491
Dr. Reckeweg Ashwagandha Mother Tincture Q,bottle of 20 ml Mother Tincture,105,335,https://www.1mg.com/otc/dr.-reckeweg-ashwagandha-mother-tincture-q-otc327798
SBL Arnica Montana Mother Tincture Q,bottle of 30 ml Mother Tincture,240,211,https://www.1mg.com/otc/sbl-arnica-montana-mother-tincture-q-otc338517
Hapdco Aqui Plus Cream,tube of 25 gm Cream,110,107,https://www.1mg.com/otc/hapdco-aqui-plus-cream-otc357587
SBL Damiagra Forte Drop,bottle of 30 ml Drop,400,352,https://www.1mg.com/otc/sbl-damiagra-forte-drop-otc385769
Bakson's Calcarea Phosphorica Biochemic Tablet 6X,bottle of 4500 biochemic tablets,720,634,https://www.1mg.com/otc/bakson-s-calcarea-phosphorica-biochemic-tablet-6x-otc695108
Dr. Reckeweg R9 Cough Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r9-cough-drop-otc326072
Dr. Reckeweg R82 Anti Fungal Drop,bottle of 30 ml Drop,310,296,https://www.1mg.com/otc/dr.-reckeweg-r82-anti-fungal-drop-otc326002
SBL Lycopodium Clavatum Dilution 30 CH,bottle of 30 ml Dilution,100,92,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-30-ch-otc338200
Dr. Reckeweg Bio-Combination 21 (BC 21) Tablet,bottle of 20 gm Biocombination Tablet,185,163,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-21-bc-21-tablet-otc326262
Dr. Reckeweg R84 Inhalent Allergy Drop,bottle of 30 ml Drop,310,308,https://www.1mg.com/otc/dr.-reckeweg-r84-inhalent-allergy-drop-otc326011
SBL Bryonia Alba Dilution 30 CH,bottle of 30 ml Dilution,100,92,https://www.1mg.com/otc/sbl-bryonia-alba-dilution-30-ch-otc346050
SBL Calendula Cream,tube of 25 gm Cream,75,67,https://www.1mg.com/otc/sbl-calendula-cream-otc330989
Dr. Reckeweg V-C 15 Forte Tonic,box of 12 tonics,1170,968,https://www.1mg.com/otc/dr.-reckeweg-v-c-15-forte-tonic-otc327329
Bakson Rheum Aid Tablet,bottle of 200 tablets,500,440,https://www.1mg.com/otc/bakson-rheum-aid-tablet-otc386770
Bakson Gastro Aid Tablet,bottle of 200 tablets,500,440,https://www.1mg.com/otc/bakson-gastro-aid-tablet-otc386762
SBL Magnesia Phosphorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,110,88,https://www.1mg.com/otc/sbl-magnesia-phosphorica-biochemic-tablet-6x-otc331031
Medisynth Wartex Cream,tube of 20 gm Cream,100,98,https://www.1mg.com/otc/medisynth-wartex-cream-otc339265
SBL Gymnema Sylvestre Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-gymnema-sylvestre-mother-tincture-q-otc338482
SBL Bio-Combination 21 Tablet,bottle of 25 gm Biocombination Tablet,110,97,https://www.1mg.com/otc/sbl-bio-combination-21-tablet-otc331070
Dr. Reckeweg Lycopodium Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-200-ch-otc336001
ADEL 4 Apo-Rheum Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-4-apo-rheum-drop-otc325870
SBL FP-Tabs Tablet,bottle of 25 gm Tablet,165,152,https://www.1mg.com/otc/sbl-fp-tabs-tablet-otc329015
Bakson's Magnesium Phosphoricum Biochemic Tablet 6X,bottle of 4500 biochemic tablets,720,634,https://www.1mg.com/otc/bakson-s-magnesium-phosphoricum-biochemic-tablet-6x-otc695225
Bakson's Kali Phosphoricum Biochemic Tablet 6X,bottle of 4500 biochemic tablets,720,634,https://www.1mg.com/otc/bakson-s-kali-phosphoricum-biochemic-tablet-6x-otc695198
Bakson's Calcarea Phosphorica Biochemic Tablet 3X,bottle of 4500 biochemic tablets,655,563,https://www.1mg.com/otc/bakson-s-calcarea-phosphorica-biochemic-tablet-3x-otc695106
Dr Willmar Schwabe Germany Biofungin Syrup,bottle of 250 ml Syrup,847,756,https://www.1mg.com/otc/dr-willmar-schwabe-germany-biofungin-syrup-otc326130
Dr. Reckeweg R18 Kidney And Bladder Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r18-kidney-and-bladder-drop-otc326065
SBL Homeocal Tablet,bottle of 25 gm Tablet,165,144,https://www.1mg.com/otc/sbl-homeocal-tablet-otc326109
Bakson Pilgo Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-pilgo-tablet-otc327078
SBL Bio-Combination 25 Tablet,bottle of 25 gm Biocombination Tablet,110,97,https://www.1mg.com/otc/sbl-bio-combination-25-tablet-otc331077
SBL Rauwolfia Serpentina Mother Tincture Q,bottle of 30 ml Mother Tincture,105,100,https://www.1mg.com/otc/sbl-rauwolfia-serpentina-mother-tincture-q-otc338425
New Life Bach Flower Rescue Remedy 30,bottle of 30 ml Dilution,125,113,https://www.1mg.com/otc/new-life-bach-flower-rescue-remedy-30-otc386623
SBL Tribulus Terrestris Mother Tincture Q,bottle of 30 ml Mother Tincture,105,83,https://www.1mg.com/otc/sbl-tribulus-terrestris-mother-tincture-q-otc348982
Wheezal Hekla Lava Dental Cream,tube of 100 gm Cream,85,81,https://www.1mg.com/otc/wheezal-hekla-lava-dental-cream-otc339191
SBL Arnica Gel,tube of 25 gm Gel,75,66,https://www.1mg.com/otc/sbl-arnica-gel-otc330982
Bakson Pilgo Tablet,bottle of 200 tablets,500,376,https://www.1mg.com/otc/bakson-pilgo-tablet-otc386760
SBL Sulphur Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-sulphur-dilution-200-ch-otc338173
SBL Bio-Combination 6 Tablet,bottle of 25 gm Biocombination Tablet,110,93,https://www.1mg.com/otc/sbl-bio-combination-6-tablet-otc331025
SBL Carbo Vegetabilis Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-30-ch-otc338206
Dr. Reckeweg R2 Essentia Aurea-Gold Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r2-essentia-aurea-gold-drop-otc327508
Bakson Homoeopathic Formula 'D' Tablet,bottle of 75 tablets,215,167,https://www.1mg.com/otc/bakson-homoeopathic-formula-d-tablet-otc358328
SBL Cineraria Maritima Euphrasia Eye Drop,bottle of 10 ml Eye Drop,125,115,https://www.1mg.com/otc/sbl-cineraria-maritima-euphrasia-eye-drop-otc329019
Hapdco Marks Go Cream,tube of 25 gm Cream,110,84,https://www.1mg.com/otc/hapdco-marks-go-cream-otc350392
Dr. Reckeweg R14 Nerve And Sleep Drop,bottle of 22 ml Drop,270,264,https://www.1mg.com/otc/dr.-reckeweg-r14-nerve-and-sleep-drop-otc326070
SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,jar of 450 gm Paste,355,296,https://www.1mg.com/otc/sbl-alfalfa-malt-energy-stimulant-delicious-chocolate-otc325799
Bakson's Magnesium Phosphoricum Biochemic Tablet 6X,bottle of 250 biochemic tablets,120,108,https://www.1mg.com/otc/bakson-s-magnesium-phosphoricum-biochemic-tablet-6x-otc695224
Medisynth Pilen Forte Drop,bottle of 30 ml Drop,175,158,https://www.1mg.com/otc/medisynth-pilen-forte-drop-otc375718
SBL Terminalia Arjuna Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-terminalia-arjuna-mother-tincture-q-otc338411
ADEL 39 Apo-Sciatica Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-39-apo-sciatica-drop-otc326085
SBL Nixocid Tablet,bottle of 25 gm Tablet,165,148,https://www.1mg.com/otc/sbl-nixocid-tablet-otc326119
SBL Urtica Urens Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-urtica-urens-mother-tincture-q-otc338407
Dr. Reckeweg Lycopodium Dilution 30 CH,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-30-ch-otc327871
Dr Willmar Schwabe India Cydonia Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,275,250,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-mother-tincture-q-otc453360
Dr. Reckeweg Arsenicum Album 30 CH Dilution,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-30-ch-dilution-otc328906
SBL Bryonia Alba Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-bryonia-alba-dilution-200-ch-otc346051
Bakson's Kali Phosphoricum Biochemic Tablet 12X,bottle of 4500 biochemic tablets,720,619,https://www.1mg.com/otc/bakson-s-kali-phosphoricum-biochemic-tablet-12x-otc695192
SBL Belladonna Dilution 30 CH,bottle of 30 ml Dilution,100,92,https://www.1mg.com/otc/sbl-belladonna-dilution-30-ch-otc338213
Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,bottle of 30 ml Mother Tincture,220,202,https://www.1mg.com/otc/dr-willmar-schwabe-india-arnica-montana-mother-tincture-q-otc390782
Dr. Reckeweg Nux Vomica Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-200-ch-otc336265
SBL Passiflora Incarnata Mother Tincture Q,bottle of 30 ml Mother Tincture,125,113,https://www.1mg.com/otc/sbl-passiflora-incarnata-mother-tincture-q-otc338434
Haslab Drox 24 Sciatec Drop,bottle of 30 ml Drop,160,144,https://www.1mg.com/otc/haslab-drox-24-sciatec-drop-otc339527
SBL Avena Sativa Mother Tincture Q,bottle of 30 ml Mother Tincture,105,94,https://www.1mg.com/otc/sbl-avena-sativa-mother-tincture-q-otc338515
Allen A87 Creatinine & Blood Urea Drop,bottle of 30 ml Drop,170,123,https://www.1mg.com/otc/allen-a87-creatinine-blood-urea-drop-otc330464
SBL Caladium Seguinum Dilution 30 CH,bottle of 30 ml Dilution,100,87,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-30-ch-otc346065
SBL Damiana Mother Tincture Q,bottle of 30 ml Mother Tincture,150,124,https://www.1mg.com/otc/sbl-damiana-mother-tincture-q-otc338489
SBL Thuja Ointment,tube of 25 gm Ointment,75,68,https://www.1mg.com/otc/sbl-thuja-ointment-otc331009
Bakson Sinus Aid Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-sinus-aid-tablet-otc325988
New Life NL-3 Blood Cholestrol Drop,bottle of 30 ml Drop,150,132,https://www.1mg.com/otc/new-life-nl-3-blood-cholestrol-drop-otc326170
SBL Five Phos A+ Nerve Tonic,bottle of 115 ml Tonic,130,119,https://www.1mg.com/otc/sbl-five-phos-a-nerve-tonic-otc396895
Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,bottle of 30 ml Mother Tincture,320,282,https://www.1mg.com/otc/dr-willmar-schwabe-india-sabal-serrulata-mother-tincture-q-otc391635
Dr. Reckeweg Vita-C 15 Sedative Nerve Tonic,bottle of 250 ml Tonic,695,588,https://www.1mg.com/otc/dr.-reckeweg-vita-c-15-sedative-nerve-tonic-otc325996
Dr. Reckeweg R95 Alfalfa Tonic,bottle of 250 ml Tonic,645,580,https://www.1mg.com/otc/dr.-reckeweg-r95-alfalfa-tonic-otc336743
Dr. Reckeweg R3 Heart Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r3-heart-drop-otc326082
Dr. Reckeweg R1 Inflammation Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r1-inflammation-drop-otc327511
Dr. Reckeweg R29 Vertigo And Syncope Drop,bottle of 22 ml Drop,270,252,https://www.1mg.com/otc/dr.-reckeweg-r29-vertigo-and-syncope-drop-otc327467
SBL Thuja Roll-On,bottle of 10 ml Liquid,50,45,https://www.1mg.com/otc/sbl-thuja-roll-on-otc337713
Dr. Reckeweg Bio-Combination 20 (BC 20) Tablet,bottle of 20 gm Biocombination Tablet,185,167,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-20-bc-20-tablet-otc326263
SBL Cephalandra Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,105,91,https://www.1mg.com/otc/sbl-cephalandra-indica-mother-tincture-q-otc338504
SBL Carduus Marianus Mother Tincture Q,bottle of 30 ml Mother Tincture,150,135,https://www.1mg.com/otc/sbl-carduus-marianus-mother-tincture-q-otc338507
Dr. Reckeweg Aconitum Napellus Dilution 30 CH,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-30-ch-otc326806
Dr. Reckeweg R64 Albuminuria Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r64-albuminuria-drop-otc327393
Bjain Syzygium Jambolanum Mother Tincture Q,bottle of 100 ml Mother Tincture,195,172,https://www.1mg.com/otc/bjain-syzygium-jambolanum-mother-tincture-q-otc329100
SBL Euphrasia 10% Eye Drop,bottle of 10 ml Eye Drop,90,81,https://www.1mg.com/otc/sbl-euphrasia-10-eye-drop-otc326104
Dr Willmar Schwabe Germany Gastrobin Drop,bottle of 20 ml Drop,230,202,https://www.1mg.com/otc/dr-willmar-schwabe-germany-gastrobin-drop-otc326129
SBL Bio-Combination 19 Tablet,bottle of 25 gm Biocombination Tablet,110,97,https://www.1mg.com/otc/sbl-bio-combination-19-tablet-otc331068
Dr Willmar Schwabe India Alpha-Liv Liver Tonic,bottle of 500 ml Tonic,350,308,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-liv-liver-tonic-otc492430
Dr. Reckeweg Arnica Mont Dilution 200 CH,bottle of 11 ml Dilution,160,148,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-dilution-200-ch-otc335897
Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,bottle of 30 ml Dilution,100,85,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-dilution-30-ch-otc372354
SBL Lycopodium Clavatum Dilution 200 CH,bottle of 30 ml Dilution,115,106,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-200-ch-otc338199
SBL Mullein Ear Drop,bottle of 10 ml Ear Drop,65,57,https://www.1mg.com/otc/sbl-mullein-ear-drop-otc328981
