name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,Product_url
SBL Histaminum Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-histaminum-dilution-30-ch-otc348943
SBL Wiesbaden Dilution 30 CH,bottle of 30 ml Dilution,100,87,https://www.1mg.com/otc/sbl-wiesbaden-dilution-30-ch-otc348695
SBL Hepar Sulphur Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-hepar-sulphur-dilution-30-ch-otc338323
Dr. Reckeweg Selenium Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,240,220,https://www.1mg.com/otc/dr.-reckeweg-selenium-trituration-tablet-3x-otc326930
Bakson B69 Sciatica Drop,bottle of 30 ml Drop,175,154,https://www.1mg.com/otc/bakson-b69-sciatica-drop-otc388126
Dr. Reckeweg Bryonia Alba Dilution 30 CH,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-bryonia-alba-dilution-30-ch-otc326880
Dr Willmar Schwabe India Aesculus Pentarkan Drop,bottle of 30 ml Drop,190,167,https://www.1mg.com/otc/dr-willmar-schwabe-india-aesculus-pentarkan-drop-otc327655
Bakson's Derm Aid Soap,packet of 75 gm Soap,55,47,https://www.1mg.com/otc/bakson-s-derm-aid-soap-otc499056
SBL Yohimbinum Mother Tincture Q,bottle of 30 ml Mother Tincture,330,290,https://www.1mg.com/otc/sbl-yohimbinum-mother-tincture-q-otc348873
SBL Silk N Stay Antiseptic Calendula Soap,box of 75 gm Soap,55,48,https://www.1mg.com/otc/sbl-silk-n-stay-antiseptic-calendula-soap-otc330955
Allen A82 Premature Greying Of Hair Drop,bottle of 30 ml Drop,170,150,https://www.1mg.com/otc/allen-a82-premature-greying-of-hair-drop-otc330331
SBL Petroleum Cream,tube of 25 gm Cream,75,74,https://www.1mg.com/otc/sbl-petroleum-cream-otc331003
ADEL 66 Toxex Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-66-toxex-drop-otc326069
SBL Blatta Orientalis Mother Tincture Q,bottle of 30 ml Mother Tincture,295,150,https://www.1mg.com/otc/sbl-blatta-orientalis-mother-tincture-q-otc338511
Wheezal Sarsa Syrup,bottle of 450 ml Syrup,350,308,https://www.1mg.com/otc/wheezal-sarsa-syrup-otc715855
Bakson Rheum Aid Tablet,bottle of 75 tablets,215,194,https://www.1mg.com/otc/bakson-rheum-aid-tablet-otc402192
Medisynth Wartex Forte Drop,bottle of 30 ml Drop,175,154,https://www.1mg.com/otc/medisynth-wartex-forte-drop-otc339293
SBL Argentum Nitricum Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-argentum-nitricum-dilution-30-ch-otc338375
Dr. Reckeweg Bryonia Alba Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-bryonia-alba-dilution-200-ch-otc335840
SBL Robinia Pseudacacia Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-robinia-pseudacacia-dilution-30-ch-otc348603
Dr. Reckeweg Agnus Castus Dilution 30 CH,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-agnus-castus-dilution-30-ch-otc326920
SBL Plantago Major Mother Tincture Q,bottle of 30 ml Mother Tincture,105,94,https://www.1mg.com/otc/sbl-plantago-major-mother-tincture-q-otc338430
SBL Dibonil Tablet,bottle of 25 gm Tablet,165,145,https://www.1mg.com/otc/sbl-dibonil-tablet-otc326102
SBL Physostigma Venenosum Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-physostigma-venenosum-dilution-30-ch-otc348512
Dr. Reckeweg R60 Blood Purifier Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r60-blood-purifier-drop-otc326005
ADEL 44 Venorbis Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-44-venorbis-drop-otc326083
SBL Fraxinus Americana Mother Tincture Q,bottle of 30 ml Mother Tincture,330,290,https://www.1mg.com/otc/sbl-fraxinus-americana-mother-tincture-q-otc338485
